Name,,City,,,,,
Innovation Exchange,,Toronto,,,,,
Instacart,,San Fran,,,,,
IntroHive,,,,,,,
Jibestream,,,,,,,
Just Fix It,,,,,,,
Kapplex,,Toronto,,,,,
Keyhole,,San Francisco,,,,,
Knack Registry,,San Fran,,,,,
Koge,,Toronto,,,,,
Konekt.me,,,,,,,
Konrad Group,,Toronto,,,,,
Lagoa,,montreal,,,,,
Letsflee,,Mississagua,,,,,
Lightning Platform,,Toronto,,,,,
LocalFoody,,Toronto,,,,,
LoyaltyMatch,,,,,,,
Lunarch Studios,,Waterloo,,,,,
MailPenguin,,Toronto,,,,,
Market Clouds,,Toronto,,,,,
Mercatus Technologies,,Toronto,,,,,
myApollo,,Toronto,,,,,
Myshoebox,,,,,,,
Needle,,Toronto,,,,,
Offset Market Exchange (OMX),,,,,,,
OnTab Inc.,,,,,,,
padpholio,,,,,,,
Parkbench,,Toronto,,,,,
PaymentEvolution,,Toronto,,,,,
Peytec,,,,,,,
Piinpoint,,Waterloo,,,,,
Pink Elephant Marketing,,Toronto,,,,,
PixelTours,,Oakville,,,,,
PolyChart,,,,,,,
Procurify.com,,,,,,,
ProHEALTH,,Toronto,,,,,
Public Leaf,,,,,,,
RadRou Inc.,,Toronto,,,,,
RenderLife,,,,,,,
scolaris,,Scarborough,,,,,
ScribbleLive,,,,,,,
shotlst,,Toronto,,,,,
Siren Advertising,,,,,,,
SlimCut Media,,Toronto,,,,,
SoapBox,,Toronto,,,,,
Sowingo,,Toronto,,,,,
SpriggHR,,Toronto,,,,,
Startup North,,,,,,,
Statflo,,Toronto,,,,,
Streak,,San Francisco,,,,,
SupportFu,,,,,,,
Swappz Interactive,,,,,,,
SweeptoKeep.com,,,,,,,
Swish Labs,,Toronto,,,,,
synbiota,,,,,,,
Syrp Inc. (LaunchPad.io),,,,,,,
Tab Payments,,Toronto,,,,,
Talem Health Solutions,,Toronto and Calgary,,,,,
TalentBuddy,,Vancouver,,,,,
Tangam Systems,,Waterloo,,,,,
Tapped Mobile,,,,,,,
Techcrunch,,,,,,,
tellbob,,,,,,,
TellSpec Inc.,,,,,,,
The Exchange Lab,,,,,,,
Thriver,,,,,,,
,,,,,,,
https://www.thriver.ca/management/,,,,,,,
,,,,,,,
Jan.9th: initial email sent,,,,,,,
"Jan.13th: follow up""",,,,,,,
Toronto Star,,,,,,,
Traffic Soda,,Toronto,,,,,
"Treata Smart Solutions, Inc.",,,,,,,
TruCentric Inc.,,,,,,,
Tulip Retail,,Waterloo,,,,,
Valydate,,Ottawa,,,,,
Vantage Analytics,,Toronto,,,,,
Velora Studios,,,,,,,
Venngage,,Toronto,,,,,
Verold,,,,,,,
VirtualNext,,,,,,,
Ward Tech Talent,,Toronto,,,,,
wishabi,,Toronto,,,,,
Yahoo! Finance,,,,,,,
YOUi Labs,,Ottawa,,,,,
360incentives.com,,Whitby,,,,,
Apollonia Health,,Hamilton,,,,,
BDQWorks,,Toronto,,,,,
Eureka,,Toronto,,,,,
Finizi corp,,,,,,,
Global Toronto,,,,,,,
Jumbleberry,,Toronto,,,,,
Ladies Learning Code/HackerYou,,Toronto,,,,,
Metro News (Toronto),,,,,,,
nanoPay Inc.,,Toronto,,,,,
Neptune Computer Inc.,,,,,,,
Peraso Technologies,,Toronto,,,,,
Qwalify,,Kitchener,,,,,
Solink Corp,,Ottawa,,,,,
StockTree,,,,,,,
TriggerFox,,,,,,,
2G Robotics,,,,,,,
Accelorator Centre,,Waterloo,,,,,
Atomic Reach,,Toronto,,,,,
BioDiaspora,,,,,,,
Blue Line Innovations,,St.Johns,,,,,
Buytopia.ca,,Toronto,,,,,
Canadian Youth Business Foundation,,Multiple Cities,,,,,
Chick Advisor,,,,,,,
ClevrU,,,,,,,
Cognition LLP,,,,,,,
Cordon Media,,,,,,,
CrossChasm,,"Waterloo, Michigan, California",,,,,
Data Appeal,,Toronto,,,,,
Driven Accelerator,,Toronto,,,,,
Enginuity,,Toronto,,,,,
EternoGen,,,,,,,
ExecNote,,Toronto,,,,,
Exinda,,Toronto,,,,,
Fflybits,,Toronto,,,,,
Fixmo,,Toronto,,,,,
flowton,,,,,,,
Foodo,,,,,,,
Fusenet,,Burlington,,,,,
Gata Labs,,Toronto,,,,,
Hak Studio,,,,,,,
Halogen Software,,Ottawa,,,,,
Hardboot Inc.,,"Toronto, San fran",,,,,
Hootsuite,,Vancouver,,,,,
Hypejar,,Montreal,,,,,
Idea Notion Development Inc,,,,,,,
Immunophotonics,,Missouri,,,,,
Infinidy,,Waterloo,,,,,
Joist,,Toronto,,,,,
Jolt (MaRS),,Toronto,,,,,
Kashoo,,,,,,,
Kinetic Cafe,,Toronto,,,,,
Kontagent,,Toronto,,,,,
ldrly,,,,,,,
LightSpeed,,Montreal,,,,,
Listn,,,,,,,
Magmic,,,,,,,
Maintenance Assistant,,Toronto,,,,,
MappedIn,,Waterloo,,,,,
Market IQ,,Toronto,,,,,
Method:CRM,,Toronto,,,,,
ModiFace,,Toronto,,,,,
NextCODE Health,,Cambridge,,,,,
Normative Design,,Toronto,,,,,
Oncoustics,,,,,,,
P2 Energy Solutions,,,,,,,
Picatic,,Vancouver,,,,,
Qriket,,Toronto,,,,,
RealSociable,,Toronto,,,,,
Relay Ventures,,Toronto,,,,,
Scanadu,,San Francisco,,,,,
Sideline,,,,,,,
SkedX,,Toronto,,,,,
Skyprep,,,,,,,
Sober Steering,,Waterloo,,,,,
SocialGift,,Toronto,,,,,
Tantalus Systems,,Burnaby,,,,,
Think Dirty,,Toronto,,,,,
Three Point Turn Inc,,Toronto,,,,,
Touchbistro,,Toronto,,,,,
Trialfire,,Toronto,,,,,
Tyromer,,Waterloo,,,,,
Weston Expressions,,,,,,,
Careerify,,Toronto,,,,,
Chatroll,,Toronto,,,,,
Chumbuggy,,Toronto,,,,,
ContactMonkey,,Toronto,,,,,
Elevate,,Toronto,,,,,
Epilogger,,Toronto,,,,,
eProf,,Toronto,,,,,
Fable and Method,,,,,,,
FindMeCoffee.com,,Toronto,,,,,
Giftagram,,,,,,,
GreenGage,,,,,,,
kiip,,San Francisco,,,,,
Kobo,,Toronto,,,,,
Maintenanceassistant,,,,,,,
Majoreno Inc.,,,,,,,
Maluuba,,Waterloo,,,,,
MavenSay,,Toronto,,,,,
Menyou,,Toronto,,,,,
OpenInvite,,,,,,,
Rangle.io,,,,,,,
RecruitMyFriends,,Toronto,,,,,
RedBit Development,,,,,,,
Roadmunk,,Waterloo,,,,,
Shopify,,Ottawa,,,,,
SoundHound Inc.,,,,,,,
Stylekick,,Toronto,,,,,
Techvibes,,,,,,,
Trend Hunter,,Toronto,,,,,
uMentioned,,,,,,,
Vidoyen,,Toronto,,,,,
Xagenic Inc.,,Toronto,,,,,
Youzus,,Toronto,,,,,
500px,,Toronto,,,,,
Addictive Mobility,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
(Dareen),,,,,,,
,,,,,,,
Seem interested in coming,,,,,,,
Architech,,Toronto,,,,,
AskforTask,,Toronto,,,,,
AvidTap,,,,,,,
BetaKit,,,,,,,
Big Viking Games,,London,,,,,
Bionym,,,,,,,
bublcam,,Toronto,,,,,
Bykart Software Limited,,,,,,,
Camp Brain,,Toronto,,,,,
Casale Media,,North York,,,,,
Clickom,,Toronto,,,,,
Communitech,,Waterloo,,,,,
Crowdlinker,,Toronto,,,,,
DaoGrow Inc.,,,,,,,
Dezbo,,,,,,,
Digital Media Zone,,Toronto,,,,,
Edsby,,,,,,,
Edusight,,Toronto,,,,,
EventMobi,,"Toronto, San Jose",,,,,
Financelt,,Toronto,,,,,
FoodShootr,,Toronto,,,,,
FreshBooks,,,,,,,
GrandezVous,,,,,,,
Guru Link,,Toronto,,,,,
Happenate,,Kitchener,,,,,
Hubba,,Toronto,,,,,
Hueclues,,,,,,,
Interface Biologics,,Toronto,,,,,
JUICE Mobile,,Toronto,,,,,
Kiwi Wearables,,Toronto,,,,,
Light Bot,,,,,,,
LocalGrid,,,,,,,
Lumotune,,,,,,,
MaRS,,,,,,,
Momentum Group Global,,Montreal,,,,,
Nascent Digital,,,,,,,
Nightclub Booth,,,,,,,
nModal,,Toronto,,,,,
Nvest,,,,,,,
OneClass (Notesolution),,,,,,,
OpenCare,,Toronto,,,,,
PaperG,,,,,,,
ParElastic,,Cambridge,,,,,
PeSoMe,,Toronto,,,,,
PhashTag,,,,,,,
Phosphorus Media,,,,,,,
plooto inc,,Toronto,,,,,
Prolucid Technologies Inc,,Mississagua,,,,,
PumpUp Inc,,Waterloo,,,,,
Quixim Inc.,,Toronto,,,,,
RateHub,,Toronto,,,,,
Relay.im,,,,,,,
RentCompass,,Toronto,,,,,
Rubikloud,,,,,,,
Sascea / Little Room,,Toronto,,,,,
Sciencescape,,,,,,,
Seamless Mobile Health,,,,,,,
Sensibill,,,,,,,
Set Scouter Inc.,,,,,,,
Slyce,,,,,,,
"SoftGravity Inc.,",,Toronto,,,,,
Sulon Technologies Inc.,,Richmond Hill,,,,,
SurfEasy,,Toronto,,,,,
TabbleDabble Inc.,,Toronto,,,,,
Teambuy.ca,,Toronto,,,,,
Thalmic Labs,,Waterloo,,,,,
The Hatchery,,,,,,,
The Next 36,,Toronto,,,,,
ThoughtWire,,,,,,,
Top Hat,,Toronto,,,,,
TunnelBear,,Toronto,,,,,
Uber,,,,,,,
Uberflip,,,,,,,
Uintuition,,Waterloo,,,,,
Uken Games,,Toronto,,,,,
UTEST - MaRS,,,,,,,
Vello,,,,,,,
Vendhq,,"Toronto, San fran",,,,,
VuPoynt Media,,,,,,,
York Entrepreneurship Development Institute (YED),,Toronto,,,,,
360pi,,Ottawa,,,,,
3BCinc,,Toronto,,,,,
42,,,,,,,
Academic Ads,,Toronto,,,,,
Aeryon Labs Inc,,,,,,,
AppLab,,Toronto,,,,,
ARB Labs,,Toronto,,,,,
Arctic Empire,,Ottawa,,,,,
August,,,,,,,
BigRoad,,Waterloo,,,,,
Bionik Labs,,,,,,,
Blacktree Fitness,,Waterloo,,,,,
BuzzBuzzHome,,Toronto,,,,,
Clearpath Robotics,,Kitchener,,,,,
CoreCulture,,,,,,,
Cyphercor,,Kanata,,,,,
Digital Howard,,Toronto,,,,,
Endloop,,,,,,,
Figure1,,Toronto,,,,,
FiLaser,,Portland,,,,,
Firmex,,Toronto,,,,,
fonolo,,,,,,,
FoodVolt,,Toronto,,,,,
Game Hive,,Toronto,,,,,
GestSure Technologies,,,,,,,
Giveffect,,Toronto,,,,,
Gizmobay,,Toronto,,,,,
Gridcentric,,Waterloo,,,,,
Gymlife,,Toronto,,,,,
Home Sav,,,,,,,
HubDoc,,Toronto,,,,,
inDanio BioScience,,Toronto,,,,,
Indochino,,Vancouver,,,,,
Influitive,,Toronto,,,,,
Karos Health,,,,,,,
Kik,,Waterloo,,,,,
Magnet Forensics,,,,,,,
My Stewards,,Toronto,,,,,
MYTRAK,,Toronto,,,,,
MyVoice,,Toronto,,,,,
NeuraNet,,Toronto,,,,,
nulayer,,Toronto,,,,,
Penzu,,Toronto,,,,,
Pivich Inc,,,,,,,
Plastic Mobile,,Toronto,,,,,
Pressly,,Toronto,,,,,
RAGE Software,,,,,,,
Resurva,,Toronto,,,,,
SciGit,,Kitchener,,,,,
Shoplocket,,Toronto,,,,,
Singspiel,,,,,,,
SiteScout Inc,,Toronto,,,,,
SmartThings,,,,,,,
SnapEDA,,,,,,,
Sortable,,Waterloo,,,,,
Spark Devices,,Minneapolis,,,,,
StickerYou,,Toronto,,,,,
Story Panda,,Vancouver,,,,,
Suede Lane,,,,,,,
Sweet Tooth Rewards,,Kitchener,,,,,
The RedPin,,Toronto,,,,,
The working group,,Toronto,,,,,
Tiny Hearts,,Toronto,,,,,
TrendMD,,Toronto,,,,,
TrendSpottr,,Toronto,,,,,
Unbounce,,Vancouver,,,,,
Uniiverse,,Toronto,,,,,
Upverter,,Toronto,,,,,
Vidcruiter,,Moncton,,,,,
VIGOR Clean Tech,,Petersburg,,,,,
VM Farms,,Toronto,,,,,
wagepoint,,Toronto,,,,,
Waterloo Security,, certified security expertise,,,,,
,,,,,,,
Company Size: 1-10 Employees,,,,,,,
,,,,,,,
ALT CONTACT:,,,,,,,
dhouseknecht@watsec.com ,,,,,,,
"Dennis houseknecht - VP Partner Development""",,,,,,,
Whistle,,,,,,,
4ormat,,,,,,,
AdParlor,,Toronto,,,,,
ADVideo,,Kitchener,,,,,
Akindi,,,,,,,
Allegro Mobile Solutions,,Toronto,,,,,
Amulyte,,,,,,,
Antelope Inc,,Toronto,,,,,
Anywhere Group,,Saint John,,,,,
Archon Systems,,Toronto,,,,,
Atendy,,Toronto,,,,,
AudienceView Ticketing,,Toronto,,,,,
Averna,,,,,,,
Axiom Zen,,Vancouver,,,,,
Axonify,,Waterloo,,,,,
Battlefy,,,,,,,
Baydin (Boomerang),,,,,,,
BelAir Networks,,,,,,,
BeMused Network,,Toronto,,,,,
Blacksumac,,Ottawa,,,,,
BNOTIONS,,Toronto,,,,,
Bookmark,,,,,,,
BookMyCity,,Toronto,,,,,
Boxit,,,,,,,
Breather,,,,,,,
Brika,,Toronto,,,,,
BSG Inc,,,,,,,
Btracking,,Toronto,,,,,
BuggyBuy,,,,,,,
busbud,,,,,,,
Buzztc,,Montreal,,,,,
Cakemail,,Montreal,,,,,
Candid,,Toronto,,,,,
CardSwap,,Toronto,,,,,
Checkout51,,,,,,,
Cityseed,,Toronto,,,,,
Closing Costs,,Toronto,,,,,
CloudDeck,,,,,,,
Clover,,,,,,,
Club Ovahi,,Toronto,,,,,
Codified Inc.,,,,,,,
CogniVue Corporation,,Gatineau,,,,,
Cole and Parker,,,,,,,
Commission Pitch,,,,,,,
CommonSKU,,Toronto,,,,,
CommunityLend Finance,,Toronto,,,,,
ConceptShare,,Ottawa,,,,,
CoursePeer,,Mississauga,,,,,
Cover,,San Francisco,,,,,
CX Digital Media,,Toronto,,,,,
Damn Heels,,Toronto,,,,,
DanTeb Enterprises,,,,,,,
Dash Hudson,,Halifax,,,,,
Dashbook,,Ottawa,,,,,
Dejero,,Kitchener,,,,,
DesignCrowd,,Sydney,,,,,
Diversinet Corp,,Toronto,,,,,
Dreamcube,,Sacramento,,,,,
Dyverga,,Kitchener,,,,,
Eathomefed,,Waterloo,,,,,
Ecoatra,,Toronto,,,,,
EION Wireless,,Ottawa,,,,,
Electrovaya,,,,,,,
elementByIdea,,Toronto,,,,,
EmployTouch Inc.,,Toronto,,,,,
Enflick,,,,,,,
"eQOL, Inc.",,"Toronto, Sault Saint Marie",,,,,
eQuibbly,,,,,,,
Extreme Startups,,,,,,,
FameBit,,Toronto,,,,,
Fantex,,San Francisco,,,,,
FAQ Robo,,Toronto,,,,,
Fashion Forward,,Toronto,,,,,
FastRack,,Toronto,,,,,
Finmaven,,Toronto,,,,,
Firebase,,San Francisco,,,,,
FixMyWhip,,,,,,,
fluttrbox,,Montreal,,,,,
Fongo,,,,,,,
Formulating Change Inc,,,,,,,
Frank and Oak,,Montreal,,,,,
Geocode Source,,Toronto,,,,,
GoalsOnTrack,,Langley,,,,,
Grade Hacks,,Toronto,,,,,
Granata,,Toronto,,,,,
Granify,,New York,,,,,
GraphicSprings,,,,,,,
Grotend Consultancy Inc,,,,,,,
Guideally,,Toronto,,,,,
Horizn,,Toronto,,,,,
Huddlers,,Toronto,,,,,
Idea Couture,,,,,,,
In-Touch Survey Systems Inc,,,,,,,
Incident Technologies,,,,,,,
Inside Social,,Seattle,,,,,
InSource,,Glen Rock,,,,,
Instaradio,,,,,,,
InteraXon,,Toronto,,,,,
JokWear,,,,,,,
Jumptive,,,,,,,
Kaboom Tech,,Toronto,,,,,
Kickstarter,,,,,,,
Kidobi,,,,,,,
Kijiji Canada,,,,,,,
Kindness Connect,,,,,,,
Kinetica Dynamics,,Toronto,,,,,
Kite,,Toronto,,,,,
Komodo Open Lab,,Toronto,,,,,
Leadsift,,,,,,,
Linquet,,Vancouver,,,,,
Live Insite,,Toronto,,,,,
LiveHive Systems,,,,,,,
LookBookHQ,,,,,,,
Loose Button Inc.,,Toronto,,,,,
Lucova,,,,,,,
Luevo,,,,,,,
LyricsFind,,Toronto,,,,,
MaRS Cleantech,,,,,,,
Medeo,,Vancouver,,,,,
Meltwater Entrepreneurial School of Technology (MEST),,Toronto,,,,,
Mespere,,Waterloo,,,,,
Metricwire,,,,,,,
Miovision,,Waterloo,,,,,
Miovision Technologies Inc.,,Kitchener,,,,,
Mobify,,,,,,,
Mobile Vantage,,,,,,,
MODA Solutions,,,,,,,
Modavanti,,,,,,,
Modrobes,,Toronto,,,,,
Muza World Inc,,,,,,,
Mybesthelper,,,,,,,
MYCO Suite,,,,,,,
MyVMPRO,,,,,,,
NewPath Technologies,,,,,,,
Notion Medical Inc.,,Toronto,,,,,
Nubley Social Media Marketing,,Toronto,,,,,
Nulogy,,Toronto,,,,,
Nutrigenomix,,Toronto,,,,,
Palette,,Waterloo,,,,,
PasswordBox,,Montreal,,,,,
Pawly,,Toronto,,,,,
Pebble,,SF,,,,,
Perch,,,,,,,
PerspecSys,,,,,,,
Pinbooster,,,,,,,
Ping Pong Story Inc.,,Toronto,,,,,
Pinterest,,,,,,,
Pixlee,,San Francisco,,,,,
Playground Incorporated,,Toronto,,,,,
PlentyofFish Media,,,,,,,
Policy Medical,,Richmond Hill,,,,,
Primal,,Waterloo,,,,,
Primate Labs,,Portland,,,,,
Primerica,,,,,,,
Procom,,,,,,,
Prognex,,,,,,,
PromoProtec,,,,,,,
Push Science,,Toronto,,,,,
Push Strength,,,,,,,
Qoints,,Toronto,,,,,
QuickMobile,,,,,,,
Quinzee,,,,,,,
Rebellion Media,,Waterloo,,,,,
Redwood Strategic Inc.,,,,,,,
rehabit.me,,Toronto,,,,,
Retsly,,Vancouver,,,,,
Rocket5 Studios,,Toronto,,,,,
RocketMan,,Toronto,,,,,
"Root2Crown, Inc.",,,,,,,
RuggedCom Inc,,,,,,,
"SALT Technologies, Inc.",,,,,,,
Scoutzie,,California,,,,,
Screen Goddess,,,,,,,
Send With Us,,Victoria,,,,,
SensorSuite Inc.,,Toronto,,,,,
SesameIO,,,,,,,
Shape Collage,,Toronto,,,,,
Shario,,,,,,,
Sharpschool,,,,,,,
ShelfLife,,,,,,,
SHHIFT,,Ottawa,,,,,
Shifthub,,Toronto,,,,,
ShopyMyClothes,,Toronto,,,,,
Similicious,,,,,,,
Skybound,,,,,,,
Smith,,,,,,,
Snapy,,Toronto,,,,,
SocialGraph Studios,,Toronto,,,,,
Socially Collaborative Media Inc.,,Toronto,,,,,
SoFarSoGood,,,,,,,
Songza,,,,,,,
SoundBrush,,,,,,,
Spacelist,,Vancouver,,,,,
SparkMatrix,,Waterloo,,,,,
Sparo Labs,,Washington,,,,,
SpeakFeel,,Guelph,,,,,
Sprmarket,,,,,,,
SqueezeCMM,,,,,,,
StrokeLink,,Toronto,,,,,
StryveGroup,,,,,,,
Sumpto,,New York,,,,,
Swipely,,Providence,,,,,
Sylleta,,Toronto,,,,,
Teespring,,,,,,,
The Canary System,,,,,,,
The Coffice,,,,,,,
The Display Rack,,,,,,,
The Phuse,,Toronto,,,,,
Thing.to,,,,,,,
Thotra,,Toronto,,,,,
Tin Eye by Idee Inc,,Toronto,,,,,
Titanfile,,,,,,,
Togethr,,Kitchener-Waterloo,,,,,
TopThat,,,,,,,
TribeHR,,Kitchener,,,,,
Triflare,,St. Louis,,,,,
Trinity Wasteland Studios,,,,,,,
Troglo,,Calgary,,,,,
Trulioo,,,,,,,
Turnstyle Solutions,,,,,,,
Twitter,,,,,,,
Twomangoes.com,,Toronto,,,,,
Unata,,,,,,,
unBrokr,,,,,,,
Unhaggle,,Mississagua,,,,,
Velocity,,Waterloo,,,,,
Vidyard,,Kitchener,,,,,
VitalHub,,Toronto,,,,,
Voicalls,,,,,,,
Voices.com,,,,,,,
Voltera,,,,,,,
Vouchr,,Kitchener,,,,,
Wave,,Toronto,,,,,
Wavo,,Montreal,,,,,
WebCurfew,,,,,,,
Wellx,,Toronto,,,,,
Whirlscape,,Toronto,,,,,
wikiDOMO,,Toronto,,,,,
Wondereur,,Toronto,,,,,
Woof,,Toronto,,,,,
Wriber,,Waterloo,,,,,
Zenlike,,Edmonton,,,,,
Zerofootprint,,"Toronto, New York",,,,,
Zoocasa,,,,,,,
Zumbl,,,,,,,
1 LOVE T.O,,Toronto,,,,,
5N Plus Inc,,,,,,,
5to9pm.com,,,,,,,
AdBoxed,,,,,,,
Adenyo,,,,,,,
After Classroom,,,,,,,
AgileBuddy,,,,,,,
AltCareer,,Waterloo,,,,,
Amiri Strategies,,Richmond Hill,,,,,
AppHero,,Toronto,,,,,
Attempt103 Inc.,,Toronto,,,,,
Bayalink,,,,,,,
Bebedo Inc,,Toronto,,,,,
Bizlia,,Toronto,,,,,
BlinkConnect Media,,,,,,,
Blue Noodle,,,,,,,
BufferBox,,Waterloo,,,,,
BumpTop,,,,,,,
Burstn,,,,,,,
Cardign,,Torotno,,,,,
Cg6 Inc.,,Toronto,,,,,
Chematria,,,,,,,
Code Red Education,,St. Louis,,,,,
Crowdfield,,,,,,,
CUYsoft,,Toronto,,,,,
DatePleo,,,,,,,
Day One Labs,,,,,,,
Dealfind,,,,,,,
DossierView,,Waterloo,,,,,
Eloqua,,Toronto,,,,,
EmbarkOnIt,,,,,,,
Embium,,Waterloo,,,,,
EMS Aviation,,,,,,,
Engagio,,,,,,,
EQL Data,,,,,,,
FavorLog Inc,,,,,,,
Feast On It,,Toronto,,,,,
FeeFixer Inc.,,,,,,,
freshii,,Toronto,,,,,
Frozen North Productions,,,,,,,
Gamebot,,,,,,,
Geopants,,,,,,,
Gijit,,,,,,,
Gloveslap,,,,,,,
GoEyeBall,,Toronto,,,,,
GoPexo,,,,,,,
Growple,,,,,,,
HighScoreHouse,,,,,,,
Hipsell Inc.,,Toronto,,,,,
hpn.to,,,,,,,
I Know Somebody,,,,,,,
Incentivibe,,Toronto,,,,,
iSiteWatch,,Toronto,,,,,
iStopOver,,,,,,,
iStopOver Inc.,,,,,,,
Jet Cooper,,,,,,,
Kararent,,Toronto,,,,,
Kera Software,,,,,,,
KidStarter,,,,,,,
KitWit,,Toronto,,,,,
knowthedeal.ca,,,,,,,
Kumarii,,,,,,,
Leanin,,,,,,,
LearnHub,,,,,,,
LiveAdvisors,,,,,,,
LockerRoom,,,,,,,
Maide Inc.,,San Fran or Toronto,,,,,
Mobywan,,,,,,,
Modojenda,,,,,,,
Music Quest,,Toronto,,,,,
My Elephant Brain,,,,,,,
My Essentials,,,,,,,
Mypafway,,,,,,,
Nanofluidics,,,,,,,
Netributor.com,,,,,,,
Next Mobile Inc,,,,,,,
NowPlease,,,,,,,
OpenFile,,,,,,,
OpiaMusic,,,,,,,
Orbify,,,,,,,
Penyo Pal,,,,,,,
Piccsy,,,,,,,
Pilot,,,,,,,
PostageApp,,,,,,,
PostRank,,,,,,,
Prisync,,,,,,,
PunchCast,,Toronto,,,,,
PushLife,,,,,,,
Raise5,,,,,,,
Ramamo Inc.,,,,,,,
SalonBookr,,,,,,,
ScreenLife,,,,,,,
SetNight,,,,,,,
SharedBy,,,,,,,
,,,,,,,
Sharedby's platform provides detailed,,,,,,,
,,,,,,,
"Sharedby is funded by Extreme Venture Partners.""",,,,,,,
Sharingforce,,,,,,,
Shiny Agency,,,,,,,
Signup Media,,,,,,,
Simpleafy,,,,,,,
Simply Good Technologies,,,,,,,
SimplyUs,,,,,,,
Skillcademy,,,,,,,
Skillter,,,,,,,
SlingRide,,,,,,,
SNOOZY Inc,,,,,,,
Socialive Media,,Toronto,,,,,
Soft 4 POS,,,,,,,
SpeechBobble,,,,,,,
Spenz,,,,,,,
SpringGage,,Woodbridge,,,,,
Springtern,,Toronto,,,,,
Sprouter,,,,,,,
Stackup.ca,,,,,,,
StrataVox,,,,,,,
Studybucks,,,,,,,
StyleHopper Inc.,,,,,,,
Syncapse,,,,,,,
Sysomos,,,,,,,
Talkic.com,,,,,,,
TalkMESH,,,,,,,
The Sentinel Project,,,,,,,
Thinkpanda,,,,,,,
Three Red Cubes,,,,,,,
Threshold,,,,,,,
tinyHippos,,Waterloo,,,,,
Topollo Systems,,,,,,,
tout.it,,,,,,,
Tradyo,,,,,,,
Triphi Power Technologies,,,,,,,
Tunezy,,Toronto,,,,,
uCorder,,,,,,,
Ulonova,,,,,,,
Understoodit,,,,,,,
UrbanOrca,,,,,,,
Venio Health,,Toronto,,,,,
vizthink,,,,,,,
Vizualize.me,,Toronto,,,,,
Vlane,,,,,,,
Vuru,,Toronto,,,,,
Vyind,,,,,,,
Work,,,,,,,
1up media,,Toronto,,,,,
Above the Fold,,Boston,,,,,
Agoracom,,"Toronto, New York",,,,,
Akendi,,Toronto,,,,,
Analytics for Life,,Kingston,,,,,
ANTVibes,,Waterloo,,,,,
AppFuel,,Toronto,,,,,
Arda Power,,Oakville,,,,,
Athena Software,,"Waterloo, Ontario",,,,,
authintic,,Toronto,,,,,
Avantegy,,Mississagua,,,,,
